dt,temp,feels_like,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,clouds_all,weather_main,weather_description,latitude,longitude,visibility,dew_point,uv_index,temp_Celsius,day_of_week
1672531200,291.6426304774567,303.6345930885293,991,13.0,266.9551018115532,287.2295033224977,9.803035797755417,128,66,Thunderstorm,few clouds,78.7801778443777,-1.732497801501296,7291,286.43546854129403,0.5869729462566424,18.492630477456714,Sunday
1672534800,298.1105290483455,308.57646090540493,1022,66.0,257.1791610084299,290.78558520337174,200.0,165,24,Drizzle,clear sky,7.808529149397998,62.19242886462021,233,239.29377424391456,6.287993759198655,24.960529048345503,Sunday
1672538400,306.90187664935684,286.8778657778069,984,53.0,263.83830169797693,293.4828082850635,14.681301454996156,306,7,Drizzle,light drizzle,-40.82039331005876,-117.2779400953124,7270,234.7872095757078,8.61993091400753,33.75187664935686,Sunday
1672542000,312.883459286991,260.9832330473349,998,15.0,260.2754752220751,314.995046959754,8.068081440286377,228,15,Clouds,clear sky,-80.6283688797599,161.75595424239873,6953,243.0601150943736,8.731828722583568,39.73345928699104,Sunday
1672545600,304.11033314446684,257.89605431320103,991,65.0,245.7258473549014,329.93555765023063,1.946210607129072,151,1,Drizzle,light drizzle,-7.494312165614474,-60.1304028719502,6825,281.68430483497986,2.6918169262406595,30.96033314446686,Sunday
1672549200,267.92176536217585,261.30299262298865,1037,76.0,256.70089335394687,312.60986206704024,2.149178455702873,239,69,Thunderstorm,light drizzle,87.0787282311401,76.54752047591751,2187,286.7248477537902,1.809707563015312,-5.22823463782413,Sunday
1672552800,257.51312138064225,259.3963145985132,1032,11.0,248.7997024295304,306.79939692230585,12.180885639769311,239,94,Snow,snowfall,-88.95355074165582,175.1079475622953,8799,233.79634741236583,9.09204428945922,-15.63687861935773,Sunday
1672556400,317.4171809247836,266.64380304034364,1027,40.0,268.2857867976184,305.7141743883669,5.518980052576492,53,99,Rain,thunderstorm,8.413884504369094,9.095642304007043,1407,282.46352715102967,4.2927151614623416,44.26718092478359,Sunday
1672560000,262.4501597025216,245.9547047534572,1041,94.0,247.7999721150533,322.0253808394916,13.305993230657478,37,59,Drizzle,clear sky,-0.6838024844676767,-42.09908167813546,7030,258.3467245178142,3.897627494806069,-10.699840297478374,Sunday
1672563600,313.06400212920994,291.9526216887045,1035,,274.43784689605206,311.576023690957,12.114652211120074,10,99,Clear,moderate rain,-48.14321451718584,178.80078392174943,2096,287.98805674200213,1.1290698772532868,39.91400212920996,Sunday
1672567200,297.83845375761035,262.95892936222947,998,75.0,287.9046796978829,309.2133170106662,7.514901240492142,215,31,Clouds,clear sky,-85.63738384511454,47.35333917064028,4478,257.95261471782857,7.227903800967327,24.68845375761037,Sunday
1672570800,258.78092195823706,248.4055987850859,1013,89.0,246.6296201268028,298.434394934083,9.390088972299887,151,44,Drizzle,light drizzle,-15.060404058950724,-30.623498083958825,3954,284.03818262290616,8.379893970429812,-14.369078041762918,Sunday
1672574400,267.4223278627743,252.56385909968583,992,13.0,283.72513752212643,320.4151836062787,7.225692182098474,293,99,Snow,snowfall,8.137416791041943,-9.020283023729178,6772,264.51927708555183,0.8212513987559921,-5.727672137225682,Sunday
1672578000,279.63733159997383,251.3286861373585,1006,16.0,283.3778733390185,293.1298266894444,4.199077877347528,157,6,Rain,clear sky,-22.324540480621607,-127.7604519831552,8515,248.6239952923852,4.013064300588205,6.4873315999738566,Sunday
1672581600,290.1322392847931,260.28926318805884,1037,46.0,253.99800554093812,281.1368143991144,12.417634073932458,327,16,Snow,light drizzle,7.890605611959131,2.168681148660056,2593,242.167462004722,3.838192142097308,16.98223928479314,Sunday
1672585200,299.5484393327905,282.5896094509529,1021,36.0,268.09998536133503,314.24231632820414,10.854119178468888,23,12,Clear,snowfall,41.43882343807749,46.785503252186345,7193,254.9500275910713,2.3445823927712697,26.39843933279053,Sunday
1672588800,309.0387802830762,291.97592431164946,998,28.0,247.9663463697769,285.3445668698889,14.734597207270296,266,19,Rain,few clouds,75.80647706325774,-109.17675435755616,658,231.333156226646,3.0124854896892126,35.888780283076244,Sunday
1672592400,263.86636118663006,300.9022887911939,1040,40.0,270.32622649757747,329.4561862763195,11.41398588769377,115,81,Snow,light drizzle,11.904244450338666,52.80143586326048,5507,232.8375604086635,7.630992177133176,-9.28363881336992,Sunday
1672596000,266.6204478533785,288.11385555562805,996,75.0,296.1231437078704,311.63284842060534,12.728277945597195,77,94,Clear,few clouds,62.84920126869884,82.77064268681471,5192,230.6243074980164,4.2235118652580175,-6.529552146621427,Sunday
1672599600,258.9366499533033,255.1913106636445,1005,57.0,277.08107515460443,308.2748003895469,1.6924085985172577,32,1,Drizzle,clear sky,67.00954102174362,-44.57620077272196,4986,281.4021981869323,6.694756119699321,-14.21335004669669,Sunday
1672603200,315.4411919713741,305.9588764851147,1015,57.0,250.73514548657212,290.49704087699746,9.846486128722724,61,29,Drizzle,light drizzle,5.117710410273361,-110.82371204853014,9542,278.0200278373584,4.945684376015892,42.29119197137413,Sunday
1672606800,261.8657811889779,287.4045639636637,1026,87.0,253.11014325500287,319.8968234988733,10.132575793754778,181,6,Clouds,snowfall,-37.92128127637776,-17.155273218291,5099,288.4842964271494,2.5791025617402603,-11.284218811022072,Sunday
1672610400,280.4767620273965,302.4110760203266,1005,97.0,260.94655321766504,287.075044454973,14.416337714316256,242,37,Drizzle,thunderstorm,7.201913572923431,-101.67337047726969,238,246.78003778058493,3.202618348781868,7.326762027396512,Sunday
1672614000,257.39705723920804,302.5379841758603,999,98.0,279.1579637721803,329.7754342443891,14.562779671573724,335,43,Snow,snowfall,-78.58568996604154,-142.8052905134685,8299,279.77922802800146,8.695984567728875,-15.75294276079194,Sunday
1672617600,319.5171904453857,260.955361117327,1045,83.0,299.3204182127464,291.9827112418762,12.332362871339688,143,31,Snow,clear sky,-54.047769759961625,-93.22909348457844,4379,249.84300815529107,6.37499260759544,46.36719044538575,Monday
