temp,feels_like,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,visibility,weather_main,weather_desc,lat,lon,altitude,sea_level,dew_point,clouds,day_of_week,train_number,train_name,origin_code,dest_code,origin_name,dest_name,scheduled_arr_time,actual_arr_time,scheduled_dept_time,actual_dept_time,dwell_minutes,day_of_journey,curr_station_code,tracks_on_route,trains_nearby
291.2362036,285.5539879,285.8511705,302.1810898,74.3,1018,0.86,151,50.22,Rain,heavy rain,20.6967,75.93,844.9,291.2362036,11.43,85.94,Friday,12582,Train_12582,ALD,ALD,ALD,ALD,9/12/2025 12:46,9/12/2025 12:49,9/12/2025 13:47,9/12/2025 13:56,8,30,ALD,5,14
308.5214292,296.2570284,285.409364,305.9004419,88.3,1007,8.82,200,76.74,Clouds,overcast clouds,33.7701,73.1857,1432.1,308.5214292,13.61,10.16,Tuesday,12588,Train_12588,PUNE,BBS,PUNE,BBS,9/12/2025 13:09,9/12/2025 13:09,9/12/2025 14:12,9/12/2025 14:15,51,16,PUNE,3,8
301.9598183,306.1883751,305.1876374,289.514037,85.6,1006,12.61,127,88.91,Fog,dense fog,11.1232,78.7078,311.4,301.9598183,9.86,34.7,Wednesday,12053,Train_12053,PNBE,VSKP,PNBE,VSKP,9/12/2025 6:50,9/12/2025 6:50,9/12/2025 7:51,9/12/2025 7:00,56,19,PNBE,4,2
297.9597545,301.9667466,285.486386,300.746223,49.2,1015,0.26,286,74.27,Rain,light rain,33.5491,78.038,1100,297.9597545,6.34,53.83,Sunday,12276,Train_12276,NDLS,CSTM,NDLS,CSTM,9/12/2025 9:53,9/12/2025 9:57,9/12/2025 10:53,9/12/2025 10:58,5,16,NDLS,4,14
284.6805592,304.1968344,286.1584918,299.1523795,49,1018,0.74,310,54.8,Clear,clear sky,27.8008,81.5144,1227.7,284.6805592,7.89,81.13,Monday,12110,Train_12110,ALD,MAS,ALD,MAS,9/12/2025 2:59,9/12/2025 2:00,9/12/2025 3:00,9/12/2025 3:05,56,27,ALD,1,14
284.6798356,299.763501,300.7819479,306.9849113,56.1,1005,8.59,252,62.83,Rain,light rain,25.2125,81.6677,1034.7,284.6798356,11.62,21.64,Thursday,12223,Train_12223,NDLS,MAS,NDLS,MAS,9/12/2025 1:59,9/12/2025 1:02,9/12/2025 2:02,9/12/2025 2:12,51,7,NDLS,1,7
281.7425084,300.7682969,291.4921953,309.1826118,61.7,1019,12.29,265,84.71,Clouds,scattered clouds,25.4225,84.9997,930,281.7425084,11.13,80.29,Sunday,12074,Train_12074,CSTM,VSKP,CSTM,VSKP,9/12/2025 18:44,9/12/2025 18:45,9/12/2025 19:45,9/12/2025 19:54,39,11,CSTM,2,11
305.9852844,305.4758695,301.3013167,282.3647031,64.5,1020,4.9,187,59.3,Fog,dense fog,30.3216,80.1978,869,305.9852844,10.31,39.96,Saturday,12505,Train_12505,MAS,VSKP,MAS,VSKP,9/12/2025 6:29,9/12/2025 6:31,9/12/2025 7:32,9/12/2025 7:41,17,12,MAS,1,10
298.0334504,287.4900403,279.9609847,302.2205976,80.8,1010,5.24,229,74.31,Rain,light rain,10.8868,72.0965,1298.3,298.0334504,11.83,18.89,Wednesday,12013,Train_12013,BBS,NDLS,BBS,NDLS,9/12/2025 4:55,9/12/2025 4:58,9/12/2025 5:59,9/12/2025 5:06,54,4,BBS,1,10
301.2421773,294.6827489,292.6271358,283.555074,43.4,1004,8.95,270,66.11,Fog,dense fog,21.6284,87.1658,1241.4,301.2421773,11.37,75.9,Monday,12970,Train_12970,PUNE,PUNE,PUNE,PUNE,9/12/2025 2:10,9/12/2025 2:10,9/12/2025 3:13,9/12/2025 3:23,49,30,PUNE,3,7
