temp,feels_like,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,visibility,weather_main,weather_desc,lat,lon,altitude,sea_level,dew_point,clouds,day_of_week,train_number,train_name,origin_code,origin_name,dest_code,dest_name,scheduled_arr_time,actual_arr_time,scheduled_dept_time,actual_dept_time,dwell_minutes,day_of_journey,curr_station_code,tracks_on_route,maintenance_type,trains_nearby
20.5,19.9,19.3,23.2,80,1024,66.2,56,6719,Rain,moderate rain,18.0489,74.1291,899,1030,17.1,62,Tuesday,81705,Train 81705,STN4,Station STN4,STN67,Station STN67,2025-07-08 07:30:00,2025-07-08 07:43:38.908884,2025-07-08 07:34:00,2025-07-08 07:52:41.648068,9,2,STN96,4,,8
27.4,29.8,25.4,28.2,45,1026,53.7,90,8000,Cyclone,strong cyclone winds,32.228,84.9719,2127,1036,19.7,86,Tuesday,31605,Train 31605,STN18,Station STN18,STN76,Station STN76,2025-09-30 07:30:00,2025-09-30 07:47:16.125494,2025-09-30 07:53:00,2025-09-30 08:08:46.258420,21,3,STN27,6,,1
23.2,25.3,19.3,26.5,70,994,77.8,345,7002,Cyclone,strong cyclone winds,36.0143,92.4513,1477,998,19.6,42,Sunday,10865,Train 10865,STN6,Station STN6,STN80,Station STN80,2025-06-15 00:30:00,2025-06-15 00:49:13.696643,2025-06-15 00:42:00,2025-06-15 01:05:27.603431,16,1,STN46,8,,0
26.8,24.0,25.0,29.1,52,1033,10.2,278,6800,Clear,clear sky,30.1041,84.9267,311,1040,24.2,21,Monday,64822,Train 64822,STN50,Station STN50,STN68,Station STN68,2025-10-06 15:00:00,2025-10-06 15:02:07.297057,2025-10-06 15:11:00,2025-10-06 15:15:53.238439,13,2,STN21,12,None,3
22.6,25.3,19.4,25.4,69,1041,17.6,292,8671,Thunderstorm,thunderstorm,25.5327,69.0721,528,1050,12.7,72,Friday,40790,Train 40790,STN27,Station STN27,STN80,Station STN80,2025-07-25 08:30:00,2025-07-25 08:40:43.451432,2025-07-25 08:39:00,2025-07-25 08:57:34.072995,16,1,STN53,9,,5
22.1,20.1,18.4,22.4,32,991,21.4,167,8291,Rain,moderate rain,16.988,94.0891,1440,994,15.0,50,Saturday,71910,Train 71910,STN18,Station STN18,STN75,Station STN75,2025-10-25 09:30:00,2025-10-25 09:43:26.248587,2025-10-25 09:33:00,2025-10-25 09:50:20.288345,6,3,STN19,11,,6
25.9,23.9,23.3,28.1,68,975,10.2,261,10000,Thunderstorm,thunderstorm,33.286,87.1887,348,976,21.6,82,Wednesday,40000,Train 40000,STN7,Station STN7,STN53,Station STN53,2025-08-20 20:45:00,2025-08-20 20:55:18.596080,2025-08-20 21:04:00,2025-08-20 21:12:37.991045,17,1,STN53,5,,4
20.2,22.4,18.1,23.7,40,981,12.9,84,6942,Clouds,scattered clouds,20.7359,94.7635,1688,975,16.1,37,Wednesday,19190,Train 19190,STN3,Station STN3,STN64,Station STN64,2025-10-29 10:30:00,2025-10-29 10:35:35.386882,2025-10-29 10:47:00,2025-10-29 10:57:35.182320,21,1,STN100,11,,7
21.2,21.3,17.4,21.5,50,1001,8.9,131,8901,Clear,clear sky,17.4657,85.0123,1513,1005,11.4,1,Saturday,42281,Train 42281,STN25,Station STN25,STN84,Station STN84,2025-10-18 22:45:00,2025-10-18 22:47:31.569955,2025-10-18 23:04:00,2025-10-18 23:07:23.891095,19,3,STN94,8,None,0
24.6,21.7,21.8,25.5,51,1045,90.7,163,10000,Cyclone,strong cyclone winds,27.0867,91.091,2431,1042,16.9,73,Wednesday,78777,Train 78777,STN35,Station STN35,STN73,Station STN73,2025-09-10 22:15:00,2025-09-10 23:36:13.327401,2025-09-10 22:29:00,2025-09-10 23:55:52.904228,19,3,STN47,1,,22
3.5,2.7,0.7,5.2,66,1007,30.1,244,10000,Snow,light snow,24.9515,74.3175,2968,1000,1.3,45,Saturday,40504,Train 40504,STN36,Station STN36,STN68,Station STN68,2025-08-16 21:30:00,2025-08-16 21:47:16.246420,2025-08-16 21:38:00,2025-08-16 21:59:42.067545,12,3,STN98,9,,16
22.5,22.9,21.6,24.7,39,976,70.6,314,10000,Cyclone,strong cyclone winds,26.8114,82.3313,2634,971,17.4,74,Friday,78204,Train 78204,STN22,Station STN22,STN91,Station STN91,2025-08-01 00:15:00,2025-08-01 00:34:39.696649,2025-08-01 00:24:00,2025-08-01 00:46:03.320813,11,1,STN13,7,None,22
