temp,feels_like,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,visibility,weather_main,weather_desc,lat,lon,altitude,sea_level,dew_point,clouds,day_of_week,train_number,train_name,origin_code,origin_name,dest_code,dest_name,scheduled_arr_time,actual_arr_time,scheduled_dept_time,actual_dept_time,dwell_minutes,day_of_journey,curr_station_code,tracks_on_route,maintenance_type,trains_nearby
296.16,295.1765941,294.9296048,297.3415044,52,1019,10.09889181,351,53.30430783,Fog,dense fog,20.4971,81.5425,998,296.16,9.74,34.37,Sunday,22105,Train_22105,JAT,Jammu Tawi,PUNE,Pune,9/12/2025 1:09,9/12/2025 1:06,9/12/2025 1:33,9/12/2025 1:55,49,1,JAT,4,None,5
289.63,290.3067716,288.7727358,289.6400319,79,1012,6.009852435,309,72.43628535,Clear,clear sky,24.5384,82.0181,428,289.63,9.92,32.67,Monday,12964,Train_12964,BBS,Bhubaneswar,CSTM,Mumbai CST,9/12/2025 1:37,9/12/2025 1:33,9/12/2025 1:44,9/12/2025 1:52,19,1,BBS,5,None,11
304.58,305.0718288,303.3580912,304.8168898,100,1019,9.11478622,277,72.05368553,Clear,clear sky,16.3244,76.9114,726,304.58,7.75,30.03,Tuesday,18518,Train_18518,ALD,Prayagraj,DDN,Dehradun,9/12/2025 2:03,9/12/2025 2:15,9/12/2025 2:32,9/12/2025 2:30,15,1,ALD,3,None,4
285.89,287.4290038,284.2376617,287.1435373,95,1010,5.422359509,96,88.93142996,Rain,moderate rain,16.0779,75.7695,171,285.89,8.9,6.3,Wednesday,12011,Train_12011,PNBE,Patna Jn,MAS,Chennai Central,9/12/2025 3:57,9/12/2025 3:59,9/12/2025 4:04,9/12/2025 4:07,8,1,PNBE,5,None,3
288.64,288.1370263,288.6032972,289.2730039,86,1011,8.41421765,118,64.48353329,Fog,dense fog,27.1549,78.5737,807,288.64,12.65,35.95,Thursday,12011,Train_12011,VSKP,Visakhapatnam,PUNE,Pune,9/12/2025 5:46,9/12/2025 5:49,9/12/2025 6:01,9/12/2025 6:17,28,1,PNBE,5,None,9
306.18,305.9514746,306.0049577,306.8898175,80,1009,10.35074387,122,61.55916126,Drizzle,light intensity drizzle,21.7642,84.0216,823,306.18,11.03,28.71,Friday,12290,Train_12290,BCT,Mumbai Central,CDG,Chandigarh,9/12/2025 5:36,9/12/2025 5:53,9/12/2025 5:53,9/12/2025 5:56,3,1,DDN,2,None,11
296.64,296.4352313,295.1792907,298.5836067,83,1007,8.44753395,356,21.52667375,Fog,dense fog,24.7868,80.06,964,296.64,5.17,32.8,Saturday,12280,Train_12280,LKO,Lucknow,CDG,Chandigarh,9/12/2025 7:38,9/12/2025 8:08,9/12/2025 7:55,9/12/2025 7:59,-9,1,BBS,3,None,14
306.77,306.3371433,305.5522859,308.4951004,94,1007,9.285710428,274,75.61375403,Rain,moderate rain,22.0957,76.9862,291,306.77,13.73,24.22,Sunday,12658,Train_12658,CDG,Chandigarh,LKO,Lucknow,9/12/2025 9:00,9/12/2025 9:09,9/12/2025 9:14,9/12/2025 9:19,10,1,BCT,3,Electrical Work,0
290.22,292.0462912,288.7763935,290.9422679,53,1019,9.463726102,120,33.08940076,Drizzle,light intensity drizzle,17.6054,74.9226,257,290.22,6.48,28.84,Monday,15159,Train_15159,ALD,Prayagraj,DDN,Dehradun,9/12/2025 8:50,9/12/2025 9:16,9/12/2025 9:16,9/12/2025 9:25,9,1,DDN,3,None,9
287.89,287.5471211,287.8644011,289.8195376,,1007,11.63864631,81,25.76058299,Drizzle,light intensity drizzle,20.7797,72.8987,618,287.89,5.18,19.64,Tuesday,18518,Train_18518,CSTM,Mumbai CST,BCT,Mumbai Central,9/12/2025 10:59,9/12/2025 11:19,9/12/2025 11:06,9/12/2025 11:22,3,1,BBS,5,Track Repair,5
